Search Results for Instance: AgriGPT (Node.js) (nodejs)
Pattern: (all logs)
Project Root: c:\Users\Sneha\OneDrive\Desktop\AgriGPT
Results: 50 (showing last 50, 0 more available)
Timestamp: 2026-08-15T10:33:47.711Z
================================================================================

[Sat 15, 04:02:08 pm] [INFO] [Node.js Tooling] Downloading MongoDB "8.2.6": 51.8% (404.2mb / 781.1mb)[0G
[Sat 15, 04:02:10 pm] [INFO] [Node.js Tooling] Downloading MongoDB "8.2.6": 52.3% (408.8mb / 781.1mb)[0G
[Sat 15, 04:02:12 pm] [INFO] [Node.js Tooling] Downloading MongoDB "8.2.6": 52.9% (413.4mb / 781.1mb)[0G
[Sat 15, 04:02:14 pm] [INFO] [Node.js Tooling] Downloading MongoDB "8.2.6": 53.5% (418mb / 781.1mb)[0G
[Sat 15, 04:02:16 pm] [INFO] [Node.js Tooling] Downloading MongoDB "8.2.6": 54.1% (422.5mb / 781.1mb)[0G
[Sat 15, 04:02:18 pm] [INFO] [Node.js Tooling] Downloading MongoDB "8.2.6": 54.7% (427mb / 781.1mb)[0G
[Sat 15, 04:02:20 pm] [INFO] [Node.js Tooling] Downloading MongoDB "8.2.6": 55.3% (431.6mb / 781.1mb)[0G
[Sat 15, 04:02:22 pm] [INFO] [Node.js Tooling] Downloading MongoDB "8.2.6": 55.8% (435.7mb / 781.1mb)[0G
[Sat 15, 04:02:24 pm] [INFO] [Node.js Tooling] Downloading MongoDB "8.2.6": 56.4% (440.2mb / 781.1mb)[0G
[Sat 15, 04:02:26 pm] [INFO] [Node.js Tooling] Downloading MongoDB "8.2.6": 56.9% (444.8mb / 781.1mb)[0G
[Sat 15, 04:02:28 pm] [INFO] [Node.js Tooling] Downloading MongoDB "8.2.6": 57.5% (449.1mb / 781.1mb)[0G
[Sat 15, 04:02:30 pm] [INFO] [Node.js Tooling] Downloading MongoDB "8.2.6": 58% (453.2mb / 781.1mb)[0G
[Sat 15, 04:02:32 pm] [INFO] [Node.js Tooling] Downloading MongoDB "8.2.6": 58.6% (457.8mb / 781.1mb)[0G
